Brand,Model,Variant,Fuel Type,Engine Capacity (cc),Power (bhp),Torque (Nm),Mileage (km/l),Top Speed (km/h),Acceleration (0-60),Transmission (Gears),Fuel Tank (L),Front Brake,Rear Brake,ABS/CBS Type,Front Suspension,Rear Suspension,Weight (kg),Seat Height (mm),Ground Clearance (mm),Wheelbase (mm),Tyre Type,Console Type,Bluetooth,USB Port,Service Interval (km),Maintenance Cost (Annual),Price (Ex-Showroom),Launch Year,5 Year TCO (₹),Best For (Usage),Images
Honda,CB200X,Standard (STD),Petrol (E20),184.4 cc,17.26 PS,15.9 Nm,40-45 km/l,130 km/h,4.5 Sec,5-Speed,12 L,276mm Disc,220mm Disc,Single ABS,USD Fork (Gold),Monoshock,147 kg,810 mm,167 mm,1355 mm,Tubeless,Digital,No,No,"6,000 km","₹5,500","₹1,46,999*",2023,"~₹2,70,000",Urban Adventure,/assets/ai_generated_images/bikes/honda_cb200x.png
Honda,CB200X,Deluxe (DLX),Petrol (E20),184.4 cc,17.26 PS,15.9 Nm,40-45 km/l,130 km/h,4.5 Sec,5-Speed,12 L,276mm Disc,220mm Disc,Single ABS,USD Fork (Gold),Monoshock,147 kg,810 mm,167 mm,1355 mm,Tubeless,Digital,No,No,"6,000 km","₹5,800","₹1,51,000*",2024,"~₹2,80,000",Weekend Touring,/assets/ai_generated_images/bikes/honda_cb200x.png
Honda,CB300R,BS6 / OBD-2,Petrol (E20),286.01 cc,31.1 PS,27.5 Nm,30-32 km/l,150 km/h,2.4 Sec,6-Speed,9.7 L,296mm Disc,220mm Disc,Dual ABS,USD Fork,Monoshock,146 kg,801 mm,157 mm,1352 mm,Tubeless,Digital,No,No,"6,000 km","₹7,000","₹2,40,000*",2023,"~₹4,50,000",Premium Styling,/assets/ai_generated_images/bikes/honda_cb300r.png
TVS,Raider,Drum,Petrol,124.8 cc,11.38 PS,11.2 Nm,65-71 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,130mm Drum,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,No,"5,000 km","₹3,500","₹82,000",2021,"₹1,45,000",Budget Commute,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,Single Seat,Petrol,124.8 cc,11.38 PS,11.2 Nm,65-71 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,No,"5,000 km","₹3,600","₹93,500",2023,"₹1,55,000",Family Use,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,Split Seat,Petrol,124.8 cc,11.38 PS,11.2 Nm,65-71 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,Yes,"5,000 km","₹3,800","₹97,850",2021,"₹1,60,000",Sporty Commute,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,iGO,Petrol,124.8 cc,11.38 PS,11.7 Nm,67-72 km/l,100 km/h,5.8 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,Reverse LCD,No,Yes,"5,000 km","₹4,000","₹97,850",2024,"₹1,62,000",Extra Mileage,/assets/Bikes/TVS/TVS RAIDER.png
TVS,Raider,SmartXonnect (SX),Petrol,124.8 cc,11.38 PS,11.2 Nm,65-68 km/l,99 km/h,5.9 Sec,5-Speed,10.0 L,240mm Disc,130mm Drum,SBT (Sync),Telescopic,Monoshock,123 kg,780 mm,180 mm,1326 mm,Tubeless,"5"" TFT",Yes,Yes,"5,000 km","₹4,500","₹1,02,300",2022,"₹1,70,000",Tech Lovers,/assets/Bikes/TVS/TVS RAIDER.png
Suzuki,V-Strom,SX 250 (2026),Petrol (E20),249.0 cc,26.5 PS,22.2 Nm,32-36 km/l,145 km/h,9.5 Sec,6-Speed,12.0 L,310mm Disc,240mm Disc,Dual ABS,Telescopic (Long),Monoshock,167 kg,835 mm,205 mm,1440 mm,Semi-Block,Digital LCD,Yes,Yes,"5,000 km","₹9,500",Check on-road price,2026,"₹3,40,000",Adventure Tourer,/assets/ai_generated_images/bikes/suzuki_vstrom_sx250.png
Suzuki,V-Strom,800DE (2026),Petrol (E20),776.0 cc,84.3 PS,78.0 Nm,20-22 km/l,190 km/h,4.1 Sec,6-Speed,20.0 L,Dual 310mm Disc,260mm Disc,Dual ABS+G Mode,Showa USD (Adj),Monoshock (Adj),232 kg,855 mm,220 mm,1570 mm,Spoke (Tube),"5"" Color TFT",No*,Yes,"6,000 km","₹18,000",Check on-road price,2024,"₹16,50,000",Hardcore Off-Road,/assets/ai_generated_images/bikes/suzuki_vstrom_800de.png
