Brand,Model,Variant,Engine Capacity (cc),Power (bhp),Torque (Nm),Mileage (km/l),Top Speed (km/h),Acceleration,Transmission,Fuel Tank (L),Front Brake,Rear Brake,Braking System,Front Suspension,Rear Suspension,Weight (kg),Seat Height (mm),Ground Clearance (mm),Wheelbase (mm),Features,Service Interval,Maintenance Cost,Price (₹),Launch Year,Fuel Type,5 Year TCO (₹),Images
Honda,Activa 110,STD,109.51,7.8,9.05,50-55,85,~10 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,3-step adjustable,106.0,765.0,162.0,1260.0,"Analog, eSP",6000 km,Low,80000,2025,Petrol,120000,/assets/Scooters/Honda/Activa 110.png
Honda,Activa 110,DLX,109.51,7.8,9.05,50-55,85,~10 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,Same,106.0,765.0,162.0,1260.0,LED + digital,6000 km,Low,85000,2025,Petrol,125000,/assets/Scooters/Honda/Activa 110.png
Honda,Activa 110,Anniversary Edition,109.51,7.8,9.05,50-55,85,~10 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,Same,106.0,765.0,162.0,1260.0,Special edition,6000 km,Low,87000,2025,Petrol,128000,/assets/Scooters/Honda/Activa 110.png
Honda,Dio 110,STD,109.51,7.6,9.03,50-55,83,~10 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,3-step adjustable,105.0,765.0,160.0,1260.0,Analog meter,6000 km,Low,88000,2020,Petrol,130000,/assets/Scooters/Honda/Dio 110.png
Honda,Dio 110,DLX,109.51,7.6,9.03,50-55,83,~10 sec,CVT,5.3,Drum,Drum,CBS,Telescopic,Same,105.0,765.0,160.0,1260.0,Digital console,6000 km,Low,92000,2020,Petrol,135000,/assets/Scooters/Honda/Dio 110.png
Honda,Dio 125,DLX,123.92,8.19,10.5,48,95,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,3-step adjustable,105.0,708.0,171.0,1260.0,TFT + Bluetooth,6000 km,Low,91000,2023,Petrol,140000,/assets/Scooters/Honda/Dio 125.png
Honda,Dio 125,X-Edition,123.92,8.19,10.5,48,95,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Same,105.0,708.0,171.0,1260.0,Sporty graphics,6000 km,Low,92000,2024,Petrol,142000,/assets/Scooters/Honda/Dio 125.png
Honda,Dio 125,H-Smart,123.92,8.19,10.5,48,95,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Same,104.0,708.0,171.0,1260.0,Smart key,6000 km,Low,96000,2024,Petrol,145000,/assets/Scooters/Honda/Dio 125.png
Honda,Activa 125,DLX,123.92,8.3,10.5,47,90,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,3-step adjustable,107.0,765.0,162.0,1260.0,Semi-digital,6000 km,Low,104000,2020,Petrol,150000,/assets/Scooters/Honda/Activa 125.png
Honda,Activa 125,H-Smart,123.92,8.3,10.5,47,90,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Same,107.0,765.0,162.0,1260.0,Smart key,6000 km,Low,108000,2023,Petrol,155000,/assets/Scooters/Honda/Activa 125.png
Honda,Activa 125,Anniversary Edition,123.92,8.3,10.5,47,90,~9 sec,CVT,5.3,Disc,Drum,CBS,Telescopic,Same,107.0,765.0,162.0,1260.0,Special badge,6000 km,Low,106000,2025,Petrol,152000,/assets/Scooters/Honda/Activa 125.png
TVS,Ntorq 150,Concept,149.0,13,12.5,40,110,~7 sec,CVT,6,Disc,Disc,ABS,Telescopic,Mono shock,120.0,770.0,160.0,1300.0,Sport scooter concept,6000 km,Medium,120000,Concept,Petrol,180000,/assets/Scooters/TVS/Ntorq 150.png
TVS,Ntorq 125,STD,124.8,9.4,10.5,45-50,95,~6.5 sec,CVT,5,Disc,Drum,CBS,Telescopic,Gas charged,116.0,765.0,155.0,1285.0,"Bluetooth, SmartXonnect",6000 km,Medium,90000,2018,Petrol,145000,/assets/Scooters/TVS/NTORQ 125.png
TVS,Ntorq 125,Race XP,124.8,10,10.8,45,105,~6.5 sec,CVT,5,Disc,Drum,CBS,Telescopic,Gas charged,116.0,765.0,155.0,1285.0,Riding modes,6000 km,Medium,100000,2021,Petrol,155000,/assets/Scooters/TVS/NTORQ 125.png
